rxnid	ecnum	substrates	products
70	3.5.1.6	4 216 13 	21 217 218 
88		4 263 	4 263 
90	[1.1.1.204, 1.17.1.4]	245 266 13 	184 267 
107	1.7.1.-	4 310 233 	311 13 286 
113		326 	4 327 13 
147	3.7.1.12	13 414 	416 4 415 
163	2.6.1.-	452 127 	453 454 
200		4 548 549 	4 548 549 
215	4.3.1.14	582 	4 583 217 
233	4.1.2.-	622 	170 623 
239		636 	636 
278		176 726 727 7 728 	4 9 729 10 172 
329	3.5.1.49	848 13 	849 4 217 
332	3.2.1.150	854 13 	855 856 
420	1.1.1.90	245 1053 	1054 1055 
560	1.3.99.12	1025 4 1357 	1175 1358 
588	2.3.1.47	1417 620 	21 1418 172 
664	5.4.99.16	101 	1388 
707		4 1655 1656 	1657 1658 13 
742	1.5.1.12	1728 245 13 	1729 184 
765		1781 	1782 
782		4 233 75 1819 	1820 13 286 
796	3.3.2.-	1849 13 	1850 
853	2.7.1.13	7 1241 	1952 4 45 
900	2.3.1.46	2048 2047 	2049 2050 
972		4 1261 	4 1261 
974	1.14.13.176	4 233 75 2206 	13 286 2207 
1174		2596 7 172 	2597 9 10 
1198	2.7.7.23	2641 1804 	2642 10 
1311	2.1.1.103	2860 687 	1072 2861 
1325		7 8 13 	115 8 45 
1426	1.1.1.27	290 245 	4 184 170 
1484	2.5.1.115	3201 3202 4 	3203 21 10 
1505	5.4.2.8	3248 	3194 
1529		3296 13 	419 4 172 
1565		3363 1390 	3364 3365 
1585	6.3.2.-	3399 7 3400 	115 4 3401 45 
1596		3419 	3419 
1682	3.3.2.-	1849 13 	3583 
1722	1.1.1.44	2386 3662 	2386 21 3663 
1752	2.8.2.14	386 3718 	388 4 3719 
1853	1.13.11.5	3202 75 	3912 
2012	4.4.1.11	13 127 	120 4217 4218 
2083	3.2.1.-	4345 13 	4 476 
2130		7 4424 13 	115 4424 45 
2176	2.5.1.39	115 1694 	10 4509 
2299	3.5.1.1	13 4735 	4736 4 217 
2318	1.17.1.4	245 266 13 	4 4774 1054 
2468		5057 13 	5058 
2500	6.2.1.3	5120 2050 198 	5121 5122 10 
2523		25 	25 
2543	2.6.1.-	342 5214 	382 5215 
2548	1.3.3.4	641 75 	644 121 
2589	6.4.1.2	3569 7 186 	5296 115 4 45 
2613	3.5.5.1	5336 13 	120 1275 
2620		7 1196 13 	115 1196 45 
2632	2.4.1.-	5365 557 	4 5366 559 
2671	5.4.3.4	5444 	5445 
2672	2.5.1.39	115 1694 	5446 10 
2730	4.1.1.1	4 170 	416 21 
2790	2.6.1.33	5661 382 	342 5214 
2814		5708 687 	4 2861 5709 
2856	1.1.1.76	245 5790 	4 184 5791 
2919	2.3.1.-	5906 172 	3296 5907 
2951	2.3.1.30	3296 5963 	172 5964 
2980	1.3.98.-	2546 4 6020 765 	2544 6021 
2993	1.9.6.1	25 	27 
3142	2.3.2.7	4 664 6312 	120 6313 
3200	2.1.1.197	5296 687 	6420 2861 
3231	4.3.3.6	932 454 6474 	6433 115 4 342 13 
3430	1.14.-.-	4 6842 75 	6843 13 
3444		4 6872 	4 6872 
3598	5.3.1.14	1781 	7147 
3625	4.2.1.75	7199 	7200 13 
3636	1.3.99.-	2386 4 7221 	2386 7222 
3676	1.3.1.71	7297 286 	7298 4 233 
3690		4 7321 	7322 7323 
3733	2.5.1.113	7401 	115 
3801	2.5.1.-	1042 7526 	7527 10 
3930	1.14.13.-	4 7767 233 75 	7768 13 286 
3970	6.1.1.20	338 7 	9 10 
3985	1.3.1.93	4 7862 233 	7863 286 
4007	4.1.1.19	4 7903 	7904 21 
4017	5.2.1.-	7924 	7925 
4029	2.1.1.-	0 7953 	7954 5 
4098	6.4.1.3	8080 21 	8081 4 
4153	3.1.3.57	8178 13 	8179 115 
4163		8193 	8193 
4182	2.3.1.9	8228 172 	8229 186 
4225	1.1.1.63	8308 8309 	8310 1054 
4255	3.5.4.10	13 8366 	8367 
4345		245 8540 13 	4 184 8541 
4370	2.7.1.35	7 8588 	45 6431 
4375	4.4.1.8	8598 13 	4 8599 120 170 
4425	1.14.21.-	4 233 8682 75 	8683 13 286 
4436	4.1.2.5	8704 	416 55 
4637	3.1.4.37	9067 13 	4 9068 
4792		9351 	9352 
4803		121 9372 	21 13 9373 
4919	1.3.3.6	9588 75 	9589 121 
4963		259 4 	259 4 
4980	3.1.1.31	9693 13 	4 9694 
5020	1.3.1.21	2386 9775 	9776 2386 4 
5065	3.2.1.20	6801 13 	3092 101 271 
5069	2.7.1.-	7 9867 	4 9868 45 
5079	4.2.1.17	9885 	13 9886 
5193	1.14.13.-	4 233 75 10094 	13 286 10095 
5198		10104 	10105 
5202	1.14.13.36	10114 4 233 75 	10115 13 286 
5239	1.23.1.2	10179 4 233 	10180 286 
5245	6.3.1.10	738 7 10189 10190 	738 115 4 45 10191 
5279	1.1.1.201	10257 4 233 	10258 286 
5304	3.5.3.19	6833 13 	419 21 217 
5321		4547 	4547 
5326		4 10332 	4 10332 
5336	2.7.8.26	741 10350 10351 	10352 9826 4 741 
5379	2.6.1.52	342 10429 	382 10430 
5415	2.7.1.60	7490 7 2685 	10498 4 45 
5706		4 55 	4 55 
5726	5.1.99.4	11053 	11054 
5751		11104 1561 	170 
5788		11169 	11170 4 
5838	1.3.1.70	11248 286 	11249 4 233 
5954		142 	142 
5974	4.2.1.30	1426 	11479 13 
5991	2.7.1.82	11505 5765 	11506 4 5769 
6064	2.3.1.226	3570 403 4 13 	21 172 11645 
6110		1811 342 	1811 342 
6145	4.1.1.24	4 7157 	21 11782 
6182	3.1.8.1	11851 13 	4 11852 11853 
6264	1.1.1.11	245 11994 	4 184 11995 
6321	6.1.1.7	4 7 620 	9 10 
6334	3.2.1.-	12128 13 	100 
6400	2.7.7.-	4 7 	10 12251 
6469	6.3.4.3	849 7 2728 	115 12375 45 
6554		8193 	12536 
6567	1.1.1.-	8514 286 	4 233 12558 
6584	1.14.13.-	4 75 4509 	12583 13 
6600	3.5.2.3	12611 13 	4 12612 
6653		12700 	12701 
6761	1.1.1.1	245 	184 
7019	6.1.1.14	4 5765 309 	10 13358 
7058	2.6.1.57	342 13423 	1586 382 
7072		13445 7 13 	115 13445 45 
7142	2.7.1.26	7 13566 	4 154 45 
7169	2.1.3.9	8969 13613 	115 4 13613 
7199	6.3.1.2	342 7 217 	115 4 2534 45 
7298	1.14.99.9	4 233 75 13853 	13 13854 286 
7323	4.2.1.1	21 13 	3569 
7337	4.5.1.-	13921 	13922 4 765 
7440	1.1.1.195	14100 286 	4 14101 233 
7715	1.3.1.33	14589 286 	233 14590 
7734	4.2.1.46	14625 	13 5214 
7841	2.7.8.12	14807 10589 	221 10589 
7991	3.6.3.35	7 15064 13 	115 4 15064 45 
8103	2.7.1.89	7 1995 	4 15257 45 
8109	1.5.1.46	15268 286 	4 15269 233 
8230	2.7.7.40	131 4 4284 	15480 10 
8429		932 15829 120 	6433 115 4 13 
8481	3.6.1.15	15927 13 	115 4 15928 
8594	3.6.1.-	16137 13 	4 10 16138 
8632	1.1.99.28	271 	464 1582 
8740		16393 4810 	16394 172 
8756	2.5.1.105	16419 16420 	16421 10 
8768	2.1.1.43	16435 16436 	4 16437 16438 
8827	1.3.1.-	286 15135 	4 233 236 
8861	2.1.1.107	0 7200 	16611 5 
8971	2.7.1.108	131 16804 	4 756 16805 16806 
