-DOCSTART-	-X-	-X-	O

The	DT	O	O
enzyme	JJ	O	O
cyclo-oxygenase	NN	O	B-enzyme
catalyses	VBZ	O	O
the	DT	O	O
oxygenation	NN	O	O
of	IN	O	O
arachidonic	JJ	O	B-SUBSTRATE
acid	NN	O	I-SUBSTRATE
,	,	O	O
leading	VBG	O	O
to	TO	O	O
the	DT	O	O
formation	NN	O	O
of	IN	O	O
prostaglandins	NNS	O	B-PRODUCT-OF
.	.	O	O

Recently	RB	O	O
two	CD	O	O
forms	NNS	O	O
of	IN	O	O
cyclo-oxygenase	NN	O	O
have	VBP	O	O
been	VBN	O	O
described	VBN	O	O
:	:	O	O
a	DT	O	O
constitutive	JJ	O	O
(	(	O	O
COX-1	NNP	O	O
)	)	O	O
enzyme	FW	O	O
present	JJ	O	O
in	IN	O	O
most	JJS	O	O
cells	NNS	O	O
and	CC	O	O
tissues	NNS	O	O
,	,	O	O
and	CC	O	O
an	DT	O	O
inducible	JJ	O	O
(	(	O	O
COX-2	NNP	O	O
)	)	O	O
isoenzyme	NN	O	O
observed	VBD	O	O
in	IN	O	O
many	JJ	O	O
cells	NNS	O	O
in	IN	O	O
response	NN	O	O
to	TO	O	O
pro-inflammatory	JJ	O	O
cytokines	NNS	O	O
.	.	O	O
