(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
(+)-7-epi-jasmonoyl-CoA + acetyl-CoA <- 3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA + coenzyme A	354 856 	1580 595 
(+)-7-epi-jasmonoyl-CoA + H2O -> (+)-7-epi-jasmonate + coenzyme A + H+	1580 1066 	1581 856 1064 
(1,4-α-D-glucosyl)(n) + H2O -> (1,4-α-D-glucosyl)(n-1) + D-glucopyranose	1582 1066 	1582 1583 
(1,4-α-D-glucosyl)(n) + phosphate -> (1,4-α-D-glucosyl)(n-1) + α-D-glucopyranose 1-phosphate	1582 1354 	1582 1584 
(15Z)-tetracosenoate + ATP + coenzyme A -> (15Z)-tetracosenoyl-CoA + AMP + diphosphate	4 718 856 	5 707 955 
(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate <=> (1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate	6	7
(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate -> 2-succinylbenzoate + H2O	8	288 1066 
(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate -> indole + D-glyceraldehyde 3-phosphate	9	1094 899 
(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine = L-tryptophan + D-glyceraldehyde 3-phosphate + H2O	9 1182 	1186 899 1066 
(2,3-dihydroxybenzoyl)adenylate + a holo-[EntB aryl-carrier protein] -> a 2,3-dihydroxybenzoyl-[EntB aryl-carrier protein] + AMP + H+	10 1585 	1586 707 1064 
(25S)-3-oxocholest-4-en-26-oate + ATP + coenzyme A -> (25S)-3-oxocholest-4-en-26-oyl-CoA + AMP + diphosphate	11 718 856 	12 707 955 
(2E)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate + NAD+ -> 2,3-dihydroxy-trans-cinnamate + NADH + H+	13 1298 	213 1299 1064 
(2E)-hexadecenoate + ATP + coenzyme A -> (2E)-hexadecenoyl-CoA + AMP + diphosphate	14 718 856 	15 707 955 
(2E,6E)-farnesyl diphosphate + 5 isopentenyl diphosphate -> all-trans-octaprenyl diphosphate + 5 diphosphate	19 1102 	635 955 
(2E,6E)-farnesyl diphosphate + 8 isopentenyl diphosphate -> di-trans,octa-cis-undecaprenyl diphosphate + 8 diphosphate	19 1102 	941 955 
(2R)-2,3-dihydroxy-3-methylbutanoate -> 3-methyl-2-oxobutanoate + H2O	24	340 1066 
(2R)-2,3-dihydroxy-3-methylbutanoate + NADP+ <- (S)-2-acetolactate + NADPH + H+	123 1301 1064 	24 1300 
(2R,3S)-2-methylisocitrate = cis-2-methylaconitate + H2O	25	823 1066 
(2R,3S)-2-methylisocitrate = succinate + pyruvate	25	1462 1401 
(2R,3S)-3-isopropylmalate <=> (2S)-2-isopropylmalate	26	30
(2R,3S)-3-isopropylmalate <=> 2-isopropylmaleate + H2O	26	258 1066 
(2R,3S)-3-isopropylmalate + NAD+ -> (2S)-2-isopropyl-3-oxosuccinate + NADH + H+	26 1298 	29 1299 1064 
(2R,3S)-3-isopropylmalate + NAD+ -> 4-methyl-2-oxopentanoate + CO2 + NADH	26 1298 	414 834 1299 
(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one + H2O -> (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	28 1066 	27
(2S)-2-isopropyl-3-oxosuccinate + H+ -> 4-methyl-2-oxopentanoate + CO2	29 1064 	414 834 
(2S, 3S)-3-methylaspartate <- L-glutamate	1157	31
(2S, 3S)-3-methylaspartate + 2-oxoglutarate -> L-glutamate + methyloxaloacetate	31 280 	1157 1225 
(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate + NAD+ -> 2,3-dihydroxybenzoate + NADH + H+	33 1298 	214 1299 1064 
(2S,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one + H2O -> (2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	36 1066 	35
(2Z)-2-aminobut-2-enoate -> 2-iminobutanoate	39	255
(2Z)-2-hydroxypenta-2,4-dienoate <=> (3E)-2-oxopent-3-enoate	40	46
(2Z,4E)-2-hydroxy-6-oxonona-2,4-diene-1,9-dioate + H2O -> (2Z)-2-hydroxypenta-2,4-dienoate + succinate + H+	41 1066 	40 1462 1064 
(2Z,4E,7E)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate + H2O -> (2Z)-2-hydroxypenta-2,4-dienoate + fumarate + H+	42 1066 	40 997 1064 
(2Z,4Z)-2-chloro-3-hydroxyhexa-2,4-dienedioate <=> 5-chloromaleylacetate	43	452
(2Z,4Z)-2-hydroxyhepta-2,4-dienedioate -> (4Z)-2-oxohept-4-enedioate	44	63
(3,4-dihydroxyphenyl)acetate + oxygen -> 2-hydroxy-5-carboxymethylmuconate semialdehyde + H+	45 1336 	251 1064 
(3E)-dec-3-enoyl-CoA + acetyl-CoA <- (5E)-3-oxo-dodec-5-enoyl-CoA + coenzyme A	66 856 	48 595 
(3E,5R)-5-carboxy-2-oxohept-3-enedioate + H+ -> (2Z,4Z)-2-hydroxyhepta-2,4-dienedioate + CO2	49 1064 	44 834 
(3E,5R)-5-carboxy-2-oxohept-3-enedioate + H+ -> (4Z)-2-oxohept-4-enedioate + CO2	49 1064 	63 834 
(3E,5Z)-tetradeca-3,5-dienoyl-CoA + H2O -> (3E,5Z)-tetradecadienoate + coenzyme A + H+	50 1066 	51 856 1064 
(3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate + L-glutamate -> 4-phosphooxy-L-threonine + 2-oxoglutarate	52 1157 	424 280 
(3S)-hydroxyadipyl-CoA <- trans-2,3-dehydroadipyl-coA + H2O	1482 1066 	54
(3S)-hydroxyadipyl-CoA + NAD+ -> 3-oxoadipyl-CoA + NADH + H+	54 1298 	364 1299 1064 
(3Z)-dodec-3-enoyl-CoA + acetyl-CoA <- 3-oxo-(5Z)-tetradecenoyl-CoA + coenzyme A	349 856 	56 595 
(3Z,5E)-dodeca-3,5-dienoyl-CoA + acetyl-CoA <- 5-cis, 7-trans-3-oxo-tetradecadienoyl-CoA + coenzyme A	453 856 	58 595 
(4-hydroxyphenyl)acetate + FADH2 + oxygen -> (3,4-dihydroxyphenyl)acetate + FAD + H+ + H2O	59 984 1336 	45 983 1064 1066 
(4-hydroxyphenyl)acetate[periplasm] + H+[periplasm] -> (4-hydroxyphenyl)acetate[cytosol] + H+[cytosol]	59 1064 	59 1064 
(4S)-4-hydroxy-2-oxoglutarate <=> glyoxylate + pyruvate	60	1055 1401 
(4S)-4-hydroxy-2-oxoheptanedioate -> succinate semialdehyde + pyruvate	61	1463 1401 
(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione -> 3-hydroxy-5-phosphooxypentane-2,4-dione	62	333
(4Z)-2-oxohept-4-enedioate + H2O -> (4S)-4-hydroxy-2-oxoheptanedioate	63 1066 	61
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA + acetyl-CoA <- (6Z,9Z,12Z,15Z,18Z)-3-oxotetracosapentaenoyl-CoA + coenzyme A	71 856 	64 595 
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + acetyl-CoA <- (6Z,9Z,12Z,15Z,18Z,21Z)-3-oxotetracosahexaenoyl-CoA + coenzyme A	72 856 	65 595 
(5Z)-dodecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+ -> (2E,5Z)-dodecenoyl-CoA + a reduced electron-transfer flavoprotein	67 1587 1064 	17 1588 
(5Z)-tetradecenoyl-CoA + acetyl-CoA <- 3-oxo-(7Z)-hexadecenoyl-CoA + coenzyme A	350 856 	68 595 
(5Z)-tetradecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+ -> (2E,5Z)-tetradecenoyl-CoA + a reduced electron-transfer flavoprotein	68 1587 1064 	18 1588 
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate + ATP + coenzyme A -> (5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA + AMP + diphosphate	69 718 856 	70 707 955 
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA + H2O -> (5Z,8Z,11Z,14Z,17Z)-icosapentaenoate + coenzyme A + H+	70 1066 	69 856 1064 
(7,8-dihydropterin-6-yl)methyl diphosphate + 4-aminobenzoate -> 7,8-dihydropteroate + diphosphate	73 405 	508 955 
(7Z)-hexadecenoyl-CoA + acetyl-CoA <- 3-oxo-(9Z)-octadecenoyl-CoA + coenzyme A	353 856 	74 595 
(7Z)-hexadecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+ -> (2E,7Z)-hexadecenoyl-CoA + a reduced electron-transfer flavoprotein	74 1587 1064 	20 1588 
(7Z)-tetradecenoyl-CoA + an oxidized electron-transfer flavoprotein + H+ -> (2E,7Z)-tetradecenoyl-CoA + a reduced electron-transfer flavoprotein	75 1587 1064 	21 1588 
(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate -> cyclic pyranopterin phosphate + diphosphate	76	868 955 
(acetamidomethyl)phosphonate + ATP -> α-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate + adenine	77 718 	1589 597 
(aminomethyl)phosphonate + acetyl-CoA -> (acetamidomethyl)phosphonate + coenzyme A	78 595 	77 856 
(deoxynucleotides)(n) + H2O -> (deoxynucleotides)(n-1) + a 2'-deoxyribonucleoside 5'-monophosphate	1590 1066 	1590 1591 
(E)-1-(L-cystein-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine + H2O -> (E)-2-(1H-indol-3-yl)-1-thioacetohydroximate + pyruvate + ammonium + H+	79 1066 	87 1401 706 1064 
(E)-1-(L-cystein-S-yl)-N-hydroxy-2-(4-hydroxyphenyl)ethan-1-imine + H2O -> (Z)-N-hydroxy-2-(4-hydroxyphenyl)acetimidothioate + pyruvate + ammonium + H+	80 1066 	145 1401 706 1064 
(E)-1-(L-cystein-S-yl)-N-hydroxy-ω-(methylsulfanyl)butan-1-imine + H2O -> (E)-ω-(methylsulfanyl)butyl-thiohydroximate + pyruvate + ammonium	81 1066 	89 1401 706 
(E)-1-(L-cystein-S-yl)-N-hydroxy-ω-(methylsulfanyl)heptan-1-imine + H2O -> (E)-ω-(methylsulfanyl)heptyl-thiohydroximate + pyruvate + ammonium	82 1066 	90 1401 706 
(E)-1-(L-cystein-S-yl)-N-hydroxy-ω-(methylsulfanyl)hexan-1-imine + H2O -> (E)-ω-(methylsulfanyl)hexyl-thiohydroximate + pyruvate + ammonium	83 1066 	91 1401 706 
(E)-1-(L-cystein-S-yl)-N-hydroxy-ω-(methylsulfanyl)nonan-1-imine + H2O -> (E)-ω-(methylsulfanyl)nonyl-thiohydroximate + pyruvate + ammonium	84 1066 	92 1401 706 
(E)-1-(L-cystein-S-yl)-N-hydroxy-ω-(methylsulfanyl)octan-1-imine + H2O -> (E)-ω-(methylsulfanyl)octyl-thiohydroximate + pyruvate + ammonium	85 1066 	93 1401 706 
(E)-1-(L-cystein-S-yl)-N-hydroxy-ω-(methylsulfanyl)pentan-1-imine + H2O -> (E)-ω-(methylsulfanyl)pentyl-thiohydroximate + pyruvate + ammonium	86 1066 	94 1401 706 
(enterobacterial common antigen)-undecaprenyl diphosphate[in] -> (enterobacterial common antigen)-undecaprenyl diphosphate[out]	95	95
(L-threonylcarbamoyl)adenylate + an adenine37 in tRNA -> an N6-L-threonylcarbamoyladenine37 in tRNA + AMP	102 1592 	1593 707 
(lipoyl)adenylate + [glycine cleavage system lipoyl-carrier protein]-L-lysine -> a [glycine-cleavage complex H protein] N6-lipoyl-L-lysine + AMP + 2 H+	103 1594 	1595 707 1064 
(lipoyl)adenylate + a [lipoyl-carrier protein]-L-lysine -> a [lipoyl-carrier protein]-N6-lipoyl-L-lysine + AMP + 2 H+	103 1596 	1597 707 1064 
