category	name	ro	istrim	autotrim	dbvalidated	count	json
perfect	alkyl_phosphate_hydrolysis_to_alcohol	[#6:6]-[#8:7][P:15]([#8:5])([#8:16])=[O:17]>>[H][#8:7]-[#6:6].[H][#8][P:15]([#8:5])([#8:16])=[O:17]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""alkyl_phosphate_hydrolysis_to_alcohol"",""validation"":true}"
perfect	aldehyde_transamination_to_amine	[#6:1]-[#6:7]=O>>[H][#7]([H])-[#6:7]([H])-[#6:1]	FALSE	FALSE	null	-1	"{""note"":""This is likely a non-trimmable transamination RO that others will collapse to"",""trim"":false,""confidence"":""high"",""name"":""aldehyde_transamination_to_amine"",""validation"":true}"
perfect	alcohol_oxidation_to_aldehyde	[H][#6:2]-[#8:1][H]>>[#6:2]=[O:1]	FALSE	FALSE	null	-1	"{""note"":""Overly abstract for projection, but validates the one case of single-carbon methanol to formate"",""trim"":false,""confidence"":""med"",""name"":""alcohol_oxidation_to_aldehyde"",""validation"":true}"
perfect	thiol_oxidation_to_sulfinic_acid	[#6:2]-[#16:3]>>[#6:2][S:3]([#8])=O	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""thiol_oxidation_to_sulfinic_acid"",""validation"":true}"
perfect	sulfoxide_reduction_to_thioether	[#6:3][S:1]([#6:2])=O>>[#6:3]-[#16:1]-[#6:2]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""sulfoxide_reduction_to_thioether"",""validation"":true}"
perfect	thioether_methylation_to_sulfonium	[#6:2]-[#16:3]-[#6:4]>>[H]C([H])([H])[S+:3]([#6:2])[#6:4]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""thioether_methylation_to_sulfonium"",""validation"":true}"
perfect	benzoquinone_reduction_to_hydroquinone	[O:2]=[#6:3]-1-[#6:4]=[#6:5]-[#6:6](=[O:7])-[#6:8]=[#6:9]-1>>[H][#8:2]-[c:3]1[c:4][c:5][c:6](-[#8:7][H])[c:8][c:9]1	FALSE	FALSE	null	-1	"{""note"":""other things should trim to this"",""trim"":false,""confidence"":""high"",""name"":""benzoquinone_reduction_to_hydroquinone"",""validation"":true}"
perfect	secondary_amine_methylation	[H][#7:8](-[#6:7])-[#6:9]>>[H]C([H])([H])[#7:8](-[#6:9])-[#6:7]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""secondary_amine_methylation"",""validation"":true}"
perfect	thiol_and_sulfonium_transmethylation	[H][#16:3]-[#6:2].[#6:5][S+:6]([#6:7])[#6:14]>>[#6:5]-[#16:3]-[#6:2].[#6:7]-[#16:6]-[#6:14]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""name"":""thiol_and_sulfonium_transmethylation"",""validation"":true}"
perfect	epoxide_hydrolysis_to_vicinal_diol	[#6:2]-1-[#6:3]-[#8:5]-1>>[H][#8:5]-[#6:2]-[#6:3]-[#8][H]	FALSE	FALSE	null	-1	"{""note"":""other epoxide hydrolysis should trim to this"",""trim"":false,""confidence"":""high"",""name"":""epoxide_hydrolysis_to_vicinal_diol"",""validation"":true}"
perfect		[H][#8:22]-[#6:21].[H][#8]-c1nc(=O)n(c([H])c1C([H])([H])[H])C1([H])[#8]C([H])(C([H])([H])[#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8]-[#6:31](-[#6:32])-[#8:30])C([H])([#8][H])C1([H])[H]>>[#6:21]-[#8:22]-[#6:31](-[#6:32])-[#8:30]	FALSE	FALSE	null	-1	"{""note"":""This is likely the most abstract glycosyltransferse pattern"",""glucosyltransferase"":true,""trim"":false,""confidence"":""high"",""validation"":true}"
perfect		[H][#8:19]-[#6:18].[H][#8]P(=O)([#8][H])[#8]P(=O)([#8][H])[#8]-[#6:27](-[#6:25])-[#8:37]>>[#6:18]-[#8:19]-[#6:27](-[#6:25])-[#8:37]	FALSE	FALSE	null	-1	"{""trim"":false,""confidence"":""high"",""validation"":true}"
